,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
1476,Teatro dos Doze||reportagem,,,,,Simbita e o dragão no Ginástico
1477,Teatro dos Doze||reportagem,José Amádio,,,,Simbita e o dragão
1478,Teatro dos Doze||reportagem,Accioly Netto,,,,Simbita e o dragão
1479,Teatro dos Doze||reportagem,,,,,Estímulo ao desenvolvimento do teatro infantil
1480,Teatro dos Doze||reportagem,,,,,"Teatro para crianças, Simbita e o dragão amanhã no Ginástico"
1481,Teatro dos Doze||reportagem,,,,,Simbita e o dragão
1482,Teatro dos Doze||reportagem,Roberto Brandão,,,,Simbita e a Sra. Lucia Beneditte
1483,Teatro dos Doze||reportagem,,,,,Shakespeare tomou conta dos cartazes
1484,Teatro Universitário||reportagem,,,,,Serrador
1485,Teatro Brasileiro de Comédia||reportagem,,,,,Sergio estreiou
1486,Teatro Brasileiro de Comédia||reportagem,,,,,"Sergio Cardoso, o TBC"
1487,Teatro dos Doze||reportagem,Jota Efegê,,,,Teatro dos Doze
1488,Teatro dos Doze||reportagem,,,,,Sergio Cardoso e o erro de uma escolha
1489,Teatro dos Doze||reportagem,,,,,"Sergio Cardoso, enfermo"
1490,Teatro Brasileiro de Comédia||reportagem,,,,,Sergio Cardoso
1491,Teatro Universitário||reportagem,,,,,O pai
1492,Teatro dos Doze||reportagem,,,,,Ruggero Jacobbi responde a Luiz Barreto Leite
1493,Teatro Brasileiro de Comédia||reportagem,Sergio Britto,,,,"Ele de Savoir e O mentiroso, de Goldoni, pelo Teatro Brasileiro de Comédia, de São Paulo"
1494,Teatro dos Doze||propaganda,,,,,Quinta feira o Festival Shakespeare
1495,Teatro dos Doze||propaganda,,,,,Ginástico Hamlet
1496,Teatro dos Doze||propaganda,,,,,Arlequim
1497,Teatro dos Doze,,"Tarciso Zanotta, Luis Linhares, Sergio Britto, Sergio Cardoso, Wilson Grey, Rejane Ribeiro, Antonio Ventura, Elisio de Albuquerque, Jaime Barcelos e Zilah Maria.||Cenários e figurinos de Sergio Cardoso, Caracterização de José Jansen",1949,,"Temporada de apresentação, O Teatro dos Doze apresenta seu teatro infantil"
1498,Teatro Brasileiro de Comédia||reportagem,,,1949,,Primeiras teatrais
1499,Teatro dos Doze||reportagem,,,1949,,Primeiras teatrais
1500,Teatro dos Doze||reportagem,,,1949,,Primeiras
1501,Teatro dos Doze||reportagem,,,1949,,Primeiras
1502,Teatro dos Doze||reportagem,Yvonne Jean,,1949,,Presença da mulher no reino dos corais
1503,Teatro dos Doze||reportagem,,,1949,,Pensamentos sobre o Hamlet
1504,Teatro dos Doze||reportagem,,,1949,,Passando o ano em revista
1505,Teatro dos Doze||reportagem,Joel Santana,,1949,,Pascoal herói e mártir
1506,Teatro dos Doze||reportagem,,,1949,,Palcos e circos
1507,Teatro dos Doze||reportagem,,,1949,,O teatro infantil em marcha
1508,Teatro dos Doze||reportagem,,,1949,,O Teatro dos Doze vai apresentar Strindberg
1509,Teatro dos Doze||reportagem,,,1949,,"O Teatro dos Doze encenará peças de Goldoni, Schiller, Eliot"
1510,Teatro dos Doze||reportagem,,,1949,,O Teatro dos Doze no Ginástico
1511,Teatro dos Doze||reportagem,Accioly Netto,,1949,,O Teatro dos Doze e Tragédia em New York
1512,Teatro dos Doze||reportagem,,,1949,,O Teatro dos Doze deixou de ser solista
1513,Teatro dos Doze||reportagem,,,1949,,Teatro dos Doze
1514,Teatro do Estudante||reportagem,,,1949,,Delumbramento no Regina
1515,Teatro do Estudante||reportagem,,,1949,,O comentário da noite
1516,Teatro dos Doze||reportagem,,,1949,,Os vitoriosos de 1948
1517,Teatro dos Doze||reportagem,,,1950,,O sucesso de Hamelt
1518,Teatro dos Doze||reportagem,,,1950,,"Os novos críticos, o Hamlet de Dr. Harnisch"
1519,Teatro dos Doze||reportagem,,,1950,,"Os novos críticos, Hamlet no Ginástico"
1520,Teatro dos Doze||reportagem,,,1950,,"Os novos críticos, Hamlet tem uma nova Ofélia"
1521,Teatro dos Doze||reportagem,Moysés Duék,,1950,,Os novos críticos
1522,Teatro dos Doze||reportagem,,,1950,,Os doze venceram
1523,Teatro dos Doze||reportagem,Luiza Barreto Leite,,1950,,Os doze e os clássicos
1524,Teatro dos Doze||reportagem,Accioly Netto,,1950,,Os doze e alguns projetos
1525,Teatro Universitário||reportagem,,,1950,,O pai de Strindberg pelo  Teatro Universitário
1526,Teatro Brasileiro de Comédia||reportagem,,,1950,,O mentiroso no TBC
1527,Teatro Brasileiro de Comédia||propaganda,,,1950,,O mentiroso
1528,Teatro Brasileiro de Comédia||reportagem,,,1950,,O mentiroso
1529,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,Hamlet
1530,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,Renovação
1531,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,Hamlet volta hoje
1532,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,Tragédia em New York
1533,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,Simbita  e o dragão
1534,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,Palestra com Sergio Cardoso
1535,Teatro Universitário||reportagem,Gustavo Doria,,1950,O Globo,O pai
1536,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,Conversa com Jaime Costa
1537,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,1949 no teatro
1538,Teatro Brasileiro de Comédia||reportagem,Gustavo Doria,,1950,O Globo,Sérgio Cardoso em São Paulo
1539,Teatro dos Doze||reportagem,Gustavo Doria,,1950,O Globo,"Arlequim, servidor de amos"
1540,Teatro dos Doze||reportagem,,,1950,,O final de uma iniciativa
1541,Teatro dos Doze||reportagem,Accioly Netto,,1950,O cruzeiro,Os melhores de 1949
1542,Teatro dos Doze||reportagem,Accioly Netto,,,O cruzeiro,Goldoni e Arlequim servidor de dois amos
1543,Teatro dos Doze||reportagem,,,,,O comentário da noite
1544,Teatro dos Doze||reportagem,Accioly Netto,,,,O centenário de Hamlet
1545,Teatro dos Doze||reportagem,,,,,Novamente Hamlet
1546,Teatro dos Doze||reportagem,Jose Lyra,,,,Nova e grande vitoria do Teatro dos Doze
1547,Teatro dos Doze||reportagem,Edmundo Lys,,,Jornal O Globo,Notas sobre Hamlet
1548,Teatro dos Doze||reportagem,,,,,Notas de arte
1549,Teatro dos Doze||reportagem,,,,,Mais uma vitória do teatro infantil
1550,Teatro dos Doze||reportagem,,,,,Louvores a um novo arlequim
1551,Teatro dos Doze||reportagem,,,,,Justa observação do tradutor Osires Carneiro
1552,Teatro dos Doze||reportagem,,,,,Arlequim
1553,Teatro dos Doze||reportagem,,,,,Hamlet
1554,Teatro dos Doze||reportagem,Paschoal Carlos Magno,,,,Hamlet pelo Teatro dos Doze no Ginástico
1555,Teatro dos Doze||reportagem,,,,,Hamlet no Ginástico
1556,Teatro dos Doze||reportagem,Accioly Netto,,,,Hamlet encontrou sua alma
1557,Teatro dos Doze||reportagem,,,,,Hamlet e Leitão de Barros
1558,Teatro dos Doze||reportagem,Antonio Olinto,,,,Hamlet
1559,Teatro dos Doze||reportagem,Antonio Olinto,,,,Hamlet
1560,Teatro do Estudante||reportagem,,,,,Hamlet
1561,Teatro dos Doze||propaganda,,,,,Tragédia em New York
1562,Teatro do Estudante||reportagem,,,,,Fato inédito na cena dramática brasileira
1563,Teatro do Estudante||reportagem,,,,,Entre a tragédia do destino e a comédia dos dois amores
1564,Teatro do Estudante||reportagem,,,,,Encantamento no Fenix
1565,Teatro Brasileiro de Comédia||reportagem,,,,,"Embarca hoje, Sergio Cardoso"
1566,Teatro do Estudante||reportagem,,,,,Eis que se rompe um nobre coração
1567,Teatro dos Doze||reportagem,,,1949,,"Dulcina aplaudio Simbita e o dragão, 2"
1568,Teatro dos Doze||reportagem,,,1949,,Dulcina aplaudio Simbita e o dragão
1569,Teatro Universitário||reportagem,R. Magalhães Junior,,1949,,Dois centenários
1570,Teatro dos Doze||reportagem,Edmundo Lys,,1949,,Do Hamlet
1571,Teatro dos Doze||reportagem,,,1949,,Direção e interpretação em Tragédia em Nova York no Ginástico
1572,Teatro dos Doze||reportagem,Aldo Calvet,,1949,,Tragédia em Nova York no Ginástico
1573,Teatro dos Doze||reportagem,,,1949,,Teatro cinematografização de Shakespeare
1574,Teatro dos Doze||reportagem,,,1949,,Casos e coisas do momento teatral
1575,Teatro dos Doze||critica,,,1949,,Cartas do cronista
1576,Teatro dos Doze||critica,,,1949,,Carta do cronista
1577,Teatro dos Doze||reportagem,A. S. Oliveira Junior,,1949,,Bilhete da Guanabara
1578,Teatro dos Doze||reportagem,A. S. Oliveira Junior,,1949,,A vitoriosa temporada do Teatro dos Doze no Ginástico
1579,Teatro dos Doze||reportagem,Ilustração Brasileira,,1949,,A vitória do Princípe de Elsenor
1580,Teatro dos Doze||reportagem,,,1945,,Aventuras do Procopinho
1581,Teatro dos Doze||reportagem,,,1945,,Aspectos do momento teatral
1582,Teatro dos Doze||reportagem,Mag,,1945,,Aspectos
1583,Teatro dos Doze||reportagem,Y. Maia,,1945,,Teatro Arlequim servidor de dois amos
1584,Teatro dos Doze||reportagem,Y. Maia,,1945,,Teatro Arlequim servidor de dois amos
1585,Teatro dos Doze||reportagem,Reginaldo Lopes Rabello,,1945,,Arlequim servidor de dois amos no Ginástico
1586,Teatro dos Doze||reportagem,,,1945,,Arlequim pelo Teatro dos Doze
1587,Teatro dos Doze||reportagem,Y. Maia,,1945,,Arlequim Luiz Linhares
1588,Teatro dos Doze||reportagem,J. Rego Costa,,1945,,Teatro Arlequim I
1589,Teatro dos Doze||reportagem,,,1945,,"Arlequim, de Goldoni, no Ginástico"
1590,Teatro dos Doze||reportagem,,,1945,,"A primeira de hoje no Ginástico, Tragém em New York pelo Teatro dos Doze"
1591,Teatro dos Doze||critica,,,1945,,A opinião dos leitores
1592,Teatro dos Doze||propaganda,,,1945,,Hamlet no Ginástico
1593,Teatro dos Doze||reportagem,,,1945,,A noite proteje uma estrela
1594,Teatro dos Doze||reportagem,,,1945,,Amanhã será diferente
1595,Arlequim||reportagem,,,1945,,"Arlequim, servidor de dois amos no Ginástico"
1596,Arlequim||reportagem,,,1945,,"Arlequim, servidor de dois amos"
1597,Arlequim||reportagem,,,1945,,"Arlequim, servidor de dois amos"
1598,Cinema||reportagem,,,1945,,Agora vai!
1599,Teatro dos Doze||reportagem,,,1945,,890 Beijos!
1600,Arlequim||reportagem,Luis Giovannini,,1945,,"Arlequim, Servidor de Dois Amos"
1601,A Noite dos Campeões||reportagem,conforme legenda,,1975,conforme legenda,A noite dos campeões
1602,A Noite dos Campeões||reportagem,,,1975,Diário de Notícias,A peça de alguns campeões da novela brasileira
1603,A Noite dos Campeões||divulgação,José Álvaro,,1975,,Dia a dia da criação
1604,A Noite dos Campeões||critica,Armindo Blanco,,1975,,A Noite dos Fascistas
1605,A Noite dos Campeões||divulgação,,,1975,,Cena Aberta
1606,A Noite dos Campeões||critica,Wladimir Sampaio,,1975,,"Campeões , apesar de tudo"
1607,A Noite dos Campeões||coluna social,,,1975,,Bigode e tudo
1608,A Noite dos Campeões||entrevista,,,1975,,"Ator , este triste marginal"
1609,A Noite dos Campeões||reportagem,,,1975,A Notícia,Na Noite dos Campeões a vitória a qualquer custo
1610,A Noite dos Campeões||divulgação,,,1975,,A Noite dos Campeões
1611,Arlequim,,"Jaime Barcelos, Zilah Maria, Elisio de Albuquerque, Luiz Linhares, Beyla Genauer, Sergio Britto, Rejane Ribeiro, Sergio Cardoso, Wilson Grey, Tarciso Zanotta||Cenários e figurinos Ruggero Jacobbi, direção Ruggero Jacobbi, Assistente de direção Sergio Britto, caracterização José Jansen, música Renzo Massarani.",,,Arlequim
1612,Teatro de Arena||reportagem,Joelle Rouchou | Norma Couri,,1982,,Somos três mulheres de sucesso. Nos perdoe quem achar que sucesso é crime Fernanda Montenegro
1613,Teatro de Arena||reportagem,Mattos Pacheco,,1952,,Ronda O pensamento
1614,Mambembe||reportagem,,,,Revista Querida,Mais coisas do Mambembe
1615,Fernanda Montenegro||reportagem,Jaguar,,1982,Revista Pent House,Fernanda Montenegro
1616,Teatro dos Sete||reportagem,Accioly Netto,,,Revista O Cruzeiro,Prêmios para o teatro nacional
1617,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1983,Revista Manchete,Em teatro que as estrelas brilham
1618,Teatro dos Sete||reportagem,,,,Revista Leitura,O Mambembe Teatro dos Sete
1619,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Revista Isto é,Teatro
1620,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Revista Grande Hotel,"Ave, Fernanda"
1621,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Fotos | Revista Fatos,As lágrimas de Fernanda Montenegro
1622,Teatro dos Sete||reportagem,,,,Revista de Teatro,Arthur Azevedo glorifica estreia de companhia
1623,As Lágrimas Amargas de Petra Von Kant||critica,Flavio Marinho,,1982,Revista Desfile,As lágrimas de Petra Von Kant extraordinário
1624,Teatro dos Quatro||reportagem,,,1982,Revista Contigo,Brieba faz 81 anos
1625,Teatro dos Quatro||reportagem,,,1982,Revista Amiga,Teatro dos Quatro
1626,Mambembe||reportagem,Paulo Salgado,,,Revista Aconteceu,Mambembe
1627,Teatro dos Sete||reportagem,,,,,Teatro dos Sete
1628,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Revista Refletor,Renata Sorrah o homem precisa da arte
1629,Mambembe,,,,Revista Radiolândia,Sergio Britto e Fernanda Montenegro repetem no teatro o sucesso da televisão
1630,Teatro dos Sete||escrito,Sergio Britto,"Desenho livre, tipo caricatura de Harry Isso",1945,,Romeu e Julieta
1631,Teatro dos Doze,,,1949,,Temporada de apresentação Teatro dos Doze
1632,O Suicídio||reportagem,,,1982,,Uma festa para todo mundo assistir O suicídio
1633,Teatro dos Sete||reportagem,,,1960,O Jornal,Os melhores do teatro
1634,Teatro dos Sete||reportagem,Renata Vieira de Melo,,1960,O Globo,Cinquenta anos de vida artística
1635,Teatro dos Sete||reportagem,,,1960,O Globo,O Mambembe fazendo sucesso
1636,Novelas e Minisséries||reportagem,Arthur da Tavola,,1982,O Globo,Paraiso
1637,Teatro dos Sete||reportagem,,,1959,O Globo,Coluna de Teatro
1638,Teatro dos Sete||propaganda,,,,O Globo,Programa para todos os gostos
1639,As Lágrimas Amargas de Petra Von Kant||propaganda,,,1982,O Globo,As lágrimas amargas de Petra Von Kant
1640,O Suicídio||reportagem,,,1982,O Globo,Atenção para A falecida que se despede
1641,Novelas e Minisséries||coluna social,Hildegard Angel,,1982,O Globo,Por dentro da Tv
1642,As Lágrimas Amargas de Petra Von Kant||reportagem,Flavio Marinho,,1983,O Globo,As melhores peças do ano e os finalistas do Mambembe
1643,Teatro dos Quatro||reportagem,Hildegard Angel,,1982,O Globo,Claquetes
1644,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,O Globo,A cena carioca sob o domínio do texto estrangeiro
1645,O Suicídio||reportagem,Flavio Marinho,,1982,O Globo,Atendendo aos gostos mais variados
1646,As Lágrimas Amargas de Petra Von Kant||reportagem,Flavio Marinho,,1983,O Globo,"Teatro, aqui e agora, a máscara e a paixão"
1647,O Suicídio||reportagem,,,1982,O Globo,O suicídio
1648,Teatro dos Quatro||reportagem,,,1983,O Globo,Moliere dá especial a Fernanda Montenegro
1649,Teatro dos Quatro||reportagem,Flavio Marinho,,1982,O Globo,Homem do princípio ao fim em montagem dispensável
1650,Teatro dos Quatro||reportagem,,,1982,O Globo,Do drama alemão à revista em 46 espetáculos
1651,Teatro dos Quatro||reportagem,Flavio Marinho,,1982,O Globo,Primeiras damas brilham na enxurrada de espetáculos em cartaz
1652,Teatro dos Quatro||reportagem,Flavio Marinho,,1982,O Globo,Kalma Murtinho uma figurinista há 30 anos em cartaz
1653,Teatro dos Quatro||reportagem,,,1982,O Globo,Guerreiro se reúne no Rio com chanceler da Venezuela
1654,Teatro dos Sete||reportagem,,,,O Globo,Programa para todos os gostos
1655,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,O Globo,Agora a noite e de vida nova
1656,Society em Baby Doll||reportagem,,,1959,O Globo,Pengetti entre os melhores do teatro no ano de 1959
1657,Teatro dos Sete||reportagem,,,,O Globo,A capital federal
1658,Teatro dos Sete||reportagem,Marcos Andre,,,O Globo,Bazar um  balcão sobre a Europa
1659,Teatro dos Sete||reportagem,Zora Selman,,1983,O Globo,Coluna de teatro
1660,As Lágrimas Amargas de Petra Von Kant||reportagem,Lena Brasil,,1983,O Fluminense,Em cena os cinco melhores do ano
1661,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,O Fluminense,As lágrimas amargas
1662,As Lágrimas Amargas de Petra Von Kant||reportagem,Lena Brasil,,1982,O Fluminense,Lágrimas amargas...em horário nobre
1663,As Lágrimas Amargas de Petra Von Kant||reportagem,Armindo Blanco,,1982,O Dia,A paixão exposta
1664,Teatro dos Sete||reportagem,,,,,Mambembe
1665,Teatro dos Sete||reportagem,,,,,Mambembando
1666,Prêmios||reportagem,Norma Delgado,,1983,Luta Democrática,Terceiro ano de Paulo Pontes
1667,Teatro dos Sete||reportagem,Silvia Leon Chalreo,,1950,,Escritores e artistas aplaudem O mambembe
1668,Sergio Britto||reportagem,,,1950,,Abandonou a medicina pela arte
1669,Teatro dos Sete||reportagem,,,1959,,"No municipal, Teatro dos Sete com O Mambembe"
1670,O Suicídio||reportagem,,,1982,Jornal dos Sports,Apesar da idade
1671,As Lágrimas Amargas de Petra Von Kant||reportagem,Antonio Abreu,,1950,Jornal do Commercio,O que há pra ver
1672,Sergio Britto||reportagem,,,1950,,Luta desigual entre o cinema e o teatro
1673,O Suicídio||reportagem,,,1982,Jornal do Brasil,O suicídio
1674,As Lágrimas Amargas de Petra Von Kant||reportagem,Maria Helena Dutra,,1982,Jornal do Brasil,Exemplar carreira também na televisão
1675,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Jornal do Brasil,Teatro 31 de outubro
1676,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Jornal do Brasil,Teatro
1677,O Suicídio||reportagem,,,1982,Jornal do Brasil,A crítica do leitor
1678,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1983,Jornal do Brasil,Os mambembáveis do segundo semestre
1679,As Lágrimas Amargas de Petra Von Kant||reportagem,Macksen Luiz,,1982,Jornal do Brasil,Lições de uma visita
1680,O Suicídio||reportagem,,,1982,Jornal do Brasil,O suicídio
1681,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1983,Jornal do Brasil,Trabalho sacro
1682,O Suicídio||reportagem,,,1982,Jornal do Brasil,Impasse teatral
1683,O Suicídio||reportagem,,,1982,Jornal do Brasil,Falecida e suicídio quase no fim
1684,As Lágrimas Amargas de Petra Von Kant||reportagem,Macksen Luiz,,1982,Jornal do Brasil,Vale a pena ir ao teatro ver estas boas atrizes
1685,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Jornal do Brasil,Fernanda
1686,O Suicídio||propaganda,,,1982,Jornal do Brasil,Propaganda O suicídio
1687,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1983,Jornal do Brasil,Os vencedores do Prêmio Molere
1688,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1983,Jornal do Brasil,Os vencedores do Prêmio Molere
1689,As Lágrimas Amargas de Petra Von Kant||coluna social,,,1982,Jornal do Brasil,Zózimo
1690,O Suicídio||reportagem,Macksen Luiz,,1982,Jornal do Brasil,Do sorriso à gargalhada
1691,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Jornal do Brasil,Teatro
1692,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1982,Jornal do Brasil,Teatro
1693,As Lágrimas Amargas de Petra Von Kant||reportagem,,,1983,Jornal do Brasil,A crítica do leitor teatro
1694,As Lágrimas Amargas de Petra Von Kant||reportagem,Macksen Luiz,,1983,Jornal do Brasil,Lista completa dos melhores de 1982
1695,As Lágrimas Amargas de Petra Von Kant||reportagem,Macksen Luiz,,1983,Jornal do Brasil,Fernanda absoluta num ano sem muita ousadia
1696,Teatro dos Sete||reportagem,Augusto Mauricio,,,Jornal do Brasil,Sucesso em dezembro
1697,Sergio Britto||reportagem,,,1954,Freguês em destaque,Um homem completo de teatro
1698,Teatro dos Quatro||reportagem,,,1983,Estado de São Paulo,Premiados do Paulo Pontes
1699,Teatro dos Sete||reportagem,,,1959,Diário de Notícias,A premiação independente
1700,Teatro dos Sete||reportagem,,,1959,Diário de Notícias,Entregues ontem os prêmios dos criticos teatrais independentes
1701,Teatro dos Sete||reportagem,,,1959,Diário da noite,O Mambembe
1702,Teatro dos Sete||reportagem,,,1959,Diário da noite,Críticos Fernanda Montenegro a melhor atriz do ano
1703,Teatro dos Sete||reportagem,,,1959,Diário da noite,"Entregues os Prêmios aos melhores em teatro, CICT"
1704,Teatro dos Sete||reportagem,Bricio de Abreu,,1959,Diário Carioca,Os melhores de 59 dos independentes
1705,Teatro dos Sete||reportagem,,,1959,Diário Carioca,Cinco Notas
1706,Teatro dos Sete||reportagem,,,,Diário Carioca,Foto de Fernanda Montenegro
1707,Teatro dos Sete||reportagem,Claudio Melo | Souza,,,Diário Carioca,Prefeitura premiação do absurdo
1708,Teatro dos Sete||reportagem,,,,Diário Carioca,Ajudar as boas empresas
1709,Teatro dos Sete||reportagem,Claudio Melo | Souza,,,Diário Carioca,CICT adesões e premiações
1710,Teatro dos Sete||reportagem,,,,Correio da Manhã,O Mambembe
1711,Teatro dos Sete||reportagem,,,,Correio da Manhã,Amanhã trinta crianças felizes de Copacabana
1712,Teatro dos Sete||reportagem,,,,Correio da Manhã,O Mambembe presente de natal para as crianças
1713,Teatro dos Sete||reportagem,Milton de Moraes Emery,,,Correio da Manhã,Serão mais de sete
1714,Teatro dos Sete||reportagem,,,,Correio da Manhã,O Mambembe
1715,Teatro dos Sete||reportagem,,,,Correio da Manhã,O Mambembe
1716,Teatro dos Sete||reportagem,,,,Correio da Manhã,O Mambembe
1717,Teatro de Arena||reportagem,Lucio Fiuza,,1952,Carioca,Teatro de Arena
1718,Teatro de Arena||reportagem,,,1952,A cena muda,O Teatro de Arena virá ao Rio
1719,Teatro dos Quatro||coluna social,,,1985,Jornal Última Hora,"Jornal da TV, De volta ao palco"
1720,Teatro dos Quatro||reportagem,,,1985,Jornal Última Hora,Parece paixão
1721,Teatro dos Quatro||reportagem,,,1985,Jornal Última Hora,O pesadelo de Iara
1722,Outros||reportagem,,,1985,Jornal Última Hora,Volta Galinho
1723,Teatro dos Quatro||coluna social,,,1985,Jornal Última Hora,Gente boa
1724,Teatro dos Quatro||reportagem,Walmir Ayala,,1985,Jornal Última Hora,A sempre nova face do possível
1725,Teatro dos Quatro||reportagem,,,1985,Jornal Última Hora,"Fim d""Os Astros"
1726,Teatro dos Quatro||reportagem,,,1985,Jornal Última Hora,Sergio Britto
1727,Teatro dos Quatro||reportagem,,,1985,Jornal Última Hora,"Sergio, Nathalia e Wilker com Pirandello"
1728,Teatro dos Quatro||reportagem,Walmir Ayala,,1985,Jornal Última Hora,Assim é se lhe parece
1729,Teatro dos Quatro||reportagem,,,1979,,Bom teatro Papa Highirte
1730,Teatro dos Quatro||coluna social,,,1985,Revista Visão,Vai & Vem
1731,Teatro dos Quatro||critica,Marilia Martins,,1985,Revista Veja,Jogo de espelhos
1732,Teatro dos Quatro||critica,Marilia Martins,,1985,Revista Isto é,Festival de desacertos
1733,Teatro dos Quatro||coluna social,Hildegard Angel,,1985,Revista Contigo,Betti ficar parado cansa
1734,Teatro dos Quatro||reportagem,,,1985,Revista Amiga,Sergio Britto faz a alegria das mulheres
1735,Teatro dos Quatro||propaganda,,,1985,Jornal do Brasil | Jornal O Globo,Assim é se lhe parece
1736,Teatro dos Quatro||reportagem,,,1985,O paiz,"Assim é se lhe parece, a peça de Luigi Pirandello é reapresentada no Teatro dos Quatro"
1737,Teatro dos Quatro||coluna social,Hildegard Angel,,1985,O Globo,Nathalia Thimberg em Um nome de mulher
1738,Teatro dos Quatro||coluna social,,,1985,O Globo,Jogo rápido
1739,Teatro dos Quatro||reportagem,Hildegard Angel,,1985,O Globo,Yara Beatriz me confunde
1740,Teatro dos Quatro||reportagem,,,1985,O Globo,Ary Fontoura
1741,Teatro dos Quatro||reportagem,,,1985,O Globo,Mudança
1742,Teatro dos Quatro||reportagem,,,1985,O Globo,A volta
1743,Teatro dos Quatro||coluna social,,,1985,O Globo,Assim é se lhe parece
1744,Teatro dos Quatro||reportagem,,,1985,O Globo,O que o ator faria pelo teatro se fosse Tancredo Neves
1745,Teatro do Estudante||reportagem,J. Rego Costa,,1948,Vanguarda,Teatro Exame de Consciência
1746,Teatro do Estudante||reportagem,J. Rego Costa,,1948,Vanguarda,Teatro Registro
1747,Teatro dos Doze||reportagem,J. Rego Costa,,1948,Vanguarda,Teatro Os Doze
1748,Teatro dos Doze||reportagem,,,1948,,Teatro Os Doze
1749,Teatro dos Doze||reportagem,J. Rego Costa,,1948,,Teatro de novo
1750,Teatro do Estudante||reportagem,,,1948,,Teatro
1751,Teatro dos Doze||reportagem,,,1948,,"Teatro dos Doze, sua próxima estréia"
1752,Teatro dos Doze||reportagem,,,1948,,Teatro dos Doze
1753,Teatro dos Doze||reportagem,,,1948,,"Teatro dos Doze, sua estréia no Ginástico com Hamlet"
1754,Teatro dos Doze||reportagem,,,1948,,Teatro dos Doze 1
1755,Teatro dos Doze||reportagem,,,1948,,Teatro dos Doze
1756,Teatro do Estudante||reportagem,,,1948,,O Teatro de Estudante em visita a A Época
1757,Teatro do Estudante||reportagem,,,1948,Revista Vida,A. Castro
1758,Teatro do Estudante||propaganda,,,1948,Revista Rio,Hamlet
1759,Teatro dos Doze||propaganda,,,1948,,Quais os objetivos do Teatro dos Doze?
1760,Teatro do Estudante||propaganda,,,1948,,Propaganda Hamlet
1761,Teatro do Estudante||reportagem,,,1948,Fanfulha,Pasquale Carlomagno presentará stasera al Teatro Municipale la Compagnia Teatro dello Studente
1762,Teatro dos Doze||reportagem,,,1948,,O Teatro dos Doze
1763,Teatro dos Doze||reportagem,,,1948,O Jornal,Os três mosqueteiros no Teatro dos Doze
1764,Teatro dos Doze||reportagem,,,1948,O Jornal,Teatro Teatro dos Doze
1765,Teatro dos Doze||reportagem,,,1948,O Jornal,Teatro Teatro dos Doze
1766,Teatro dos Doze||reportagem,,,1948,O Jornal,Teatro Teatro de Estudante no Brasil
1767,Teatro dos Doze||reportagem,,,1948,O Jornal,Teatro a festa de Martins Pena
1768,Teatro dos Doze||reportagem,,,1948,O Jornal,Sociais Hamlet no Fenix
1769,Teatro dos Doze||reportagem,,,1948,O Jornal,Hamlet no Teatro do Estudante
1770,Teatro dos Doze||reportagem,,,1948,O Globo,Teatro dos Doze
1771,Teatro do Estudante||reportagem,,,1948,O Globo,O Globo nos teatros
1772,Teatro dos Doze||reportagem,Gustavo Doria,,1948,O Globo,O Globo nos teatros
1773,Teatro dos Doze||reportagem,Gustavo Doria,,1948,O Globo,O Globo nos teatros
1774,Teatro dos Doze||reportagem,Gustavo Doria,,1948,O Globo,O Globo nos teatros
1775,Teatro dos Doze||reportagem,,,1948,O Globo,Ines de Castro no Teatro de Estudante
1776,Teatro dos Doze||reportagem,Henrique Pongetti,,1948,O Globo,Cara ou coroa
1777,Teatro dos Doze||reportagem,Accioly Netto,,1948,O cruzeiro,Alviçaras pelo Teatro de Polichinelo
1778,Teatro dos Doze||reportagem,Accioly Netto,,1948,O cruzeiro,Comunicado
