,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
1429,Teatro Brasileiro de Comédia||reportagem,,,,,Teatro O mentiroso no TBC
1430,Teatro dos Doze||reportagem,J. Rego Costa,,,,Simbita e o dragão
1431,Teatro dos Doze||reportagem,José Fomm,,,,Teatro
1432,Teatro dos Doze||reportagem,,,,,Teatro impressões de um americano no Rio
1433,Teatro dos Doze||reportagem,Oswaldo de Oliveira,,,,Teatro Hamlet no Ginástico
1434,Teatro dos Doze||reportagem,Jackson se Souza,,,,Teatro Hamlet interpretação
1435,Teatro dos Doze||reportagem,Jackson de Souza,,,,Teatro Hamlet encanação da tragédia
1436,Teatro dos Doze||reportagem,J. Rego Costa,,,,Teatro Hamlet III
1437,Teatro dos Doze||reportagem,J. Rego Costa,,,,Teatro Hamlet I
1438,Teatro dos Doze||reportagem,,,,,Teatro Hamlet
1439,Teatro dos Doze||reportagem,,,,,Teatro flagrantes do momento teatral
1440,Teatro dos Doze||reportagem,,,,,Teatro estréia
1441,Teatro dos Doze||reportagem,,,,,Teatro Duas despedidas Ary Palmeira
1442,Teatro dos Doze||reportagem,,,,,Teatro dos Doze
1443,Teatro dos Doze||reportagem,,,,,Arlequim
1444,Teatro dos Doze||reportagem,,,,,"Teatro dos Doze, Arlequim servidor de dois amos, comédia em três atos de Carlo Goldoni tradução de Carla Civeli"
1445,Teatro dos Doze||reportagem,R. M. J.,,,,Sonho de uma noite de verão no Fenix com Jayme Barcelos e o Teatro de Estudante
1446,Teatro dos Doze||reportagem,,,,,Teatro de bolso
1447,Teatro dos Doze||reportagem,,,,,Teatro casos e coisas do momento
1448,Teatro dos Doze||reportagem,J. Rego Costa,,,,Teatro Carta Aberta
1449,Teatro Brasileiro de Comédia||reportagem,,,,,Teatro Brasileiro de Comédia
1450,Teatro dos Doze||reportagem,,,,,Teatro a vitória de Sergio Cardoso
1451,Teatro dos Doze||reportagem,Augusto de Almeida Filho,,,,Teatro Tragédia em New York
1452,Teatro dos Doze||reportagem,,,,,"Teatro, aspectos da atualidade teatral"
1453,Teatro dos Doze||reportagem,,,,,"Teatro, Arlequim servidor de dois amos no Ginástico"
1454,Teatro dos Doze||reportagem,Jackson de Souza,,,,"Teatro, Arlequim servidor de dois amos"
1455,Teatro dos Doze||reportagem,,,,,Notícias Arlequim
1456,Teatro dos Doze||reportagem,Oswaldo de Oliveira,,,,Arlequim no Ginástico
1457,Teatro dos Doze||reportagem,Jose Amandio,,,,"Teatro, Arlequim II Servitore di due Patroni"
1458,Teatro dos Doze||reportagem,Roberto Brandão,,,,Arlequim
1459,Teatro dos Doze||reportagem,Maria Jacintha,,,,Teatro a confirmação de Sérgio Cardoso e a afirmação de Ruggero Jacobbi
1460,Teatro dos Doze||reportagem,Augusto de Almeida Pinto,,,,Teatr Arlequim
1461,Teatro dos Doze||reportagem,Anaurelino Couto,,,,`Teatro Arlequim servidor de dois amos
1462,Teatro dos Doze||reportagem,Anaurelino Couto,,,,`Teatro Arlequim servidor de dois amos
1463,Teatro dos Doze||reportagem,Antonio Olinto,,,,Teatro
