,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
177,"PA||Curuçá||-0,7845224247551467   -47,837878486241365||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
178,"PA||Curuçá||-0,7289519033451914   -47,84802796515478||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
179,"PA||Curuçá||-0,7259480713717372   -47,848435660925595||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
180,"PA||Curuçá||-0,7907016504503908   -47,88457038077291||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
181,"PA||Curuçá||-0,7827630602114104   -47,8351319042101||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
182,"PA||Curuçá||-0,7289519033451914   -47,84798504980934||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
183,"PA||Curuçá||-0,7112292660130632   -47,765351554478656||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
184,"PA||Marapanim||-0,7063802031921588   -47,7553951946152||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
185,"PA||Curuçá||-0,7289626313129274   -47,848006507482054||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
186,"PA||Curuçá||-0,8478590427523345   -47,8734123912715||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
187,"PA||Curuçá||-0,7107143215298862   -47,76509406241325||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
188,"PA||Curuçá||-0,7098560805970466   -47,76612403067576||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
189,"PA||Curuçá||-0,7520135799197837   -47,79970926179547||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
190,"PA||Colares||-0,9301726615303989   -48,28823530716664||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
191,"PA||Marapanim||-0,7105547173266763   -47,69627627164027||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
192,"PE||Recife||-8,064467059744658   -34,90097595198466||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||INRC do Cavalo-Marinho
193,"PE||Recife||-8,068503380302184   -34,89413586392209||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Identificação||Identificação,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||INRC do Cavalo-Marinho||INRC do Maracatu Baque Solto||INRC do Maracatu Nação
194,"PE||Recife||-8,052983718093712   -34,875902662113326||Estadual||Estadual",Formas de expressão||Formas de expressão||Reconhecimento||Reconhecimento||Reconhecimento,Instituição pública estadual,"Cavalo-Marinho||Maracatu do Baque Solto||Registro do Maracatu do Baque Solto como Patrimônio Cultural do Brasil||""Registro do Maracatu do Baque Solto como Patrimônio Cultural do Brasil""||Registro do Cavalo-Marinho como Patrimônio Cultural do Brasil"
195,"PB||Pedras de Fogo||-7,3976721257183105   -35,108606570120884||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
196,"PE||Ferreiros||-7,451455264297463   -35,24282202559602||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
197,"PE||Condado||-7,584880803600442   -35,09862646895497||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
198,"PE||Araçoiaba||-7,789301157350979   -35,090481569517635||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
199,"PE||Olinda||-7,9905112601245625   -34,84065715458282||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
200,"PE||Aliança||-7,615254163141256   -35,1533493201793||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
201,"PE||Goiana||-7,565467955551563   -35,01207673769692||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
202,"PE||Condado||-7,5859017588463145   -35,10274634200233||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
203,"PE||Condado||-7,586242076723133   -35,10137305098624||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
204,"PE||Glória do Goitá||-8,002619228404535   -35,29100254398886||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
205,"PE||Feira Nova||-7,947113022790963   -35,38477697866211||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Cavalo-Marinho
206,"RS||Porto Alegre||-30,036025346009005   -51,20912974181679||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública estadual,"Nenhum registro encontrado||Registro da Tava, Lugar de Referência para o Povo Guarani"
207,"RS||Porto Alegre||-30,05088514327585   -51,21874277892577||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||INRC - Comunidade Mbyá-Guarani em São Miguel Arcanjo
208,"PE||Recife||-8,061704839345941   -34,887956054352415||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||INRC do Maracatu Baque Solto
209,"PE||Lagoa do Carro||-7,846576093360875   -35,31104718830595||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
210,"PE||Tracunhaém||-7,803348608510012   -35,23373492301109||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
211,"PE||Lagoa do Itaenga||-7,9310442692769385   -35,29399006564546||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
212,"PE||Nazaré da Mata||-7,741215117826495   -35,223785063239355||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
213,"PE||Nazaré da Mata||-7,741810456736541   -35,22507252356637||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
214,"PE||Nazaré da Mata||-7,743681516407545   -35,22215428015877||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
215,"PE||Lagoa do Itaenga||-7,932988861676967   -35,29301374156384||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
216,"PE||Nazaré da Mata||-7,739258998344227   -35,217004438849806||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
217,"PE||Paudalho||-7,899772130383792   -35,17155103331007||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
218,"PE||Lagoa do Itaenga||-7,932946357023418   -35,292992283892026||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
219,"PE||Lagoa do Itaenga||-7,9339747018500795   -35,290791145825466||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
220,"PE||Nazaré da Mata||-7,74061977807537   -35,22249760291234||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
221,"PE||Paudalho||-7,903619093523767   -35,17294578199796||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
222,"PE||Nazaré da Mata||-7,743681516407545   -35,22284092566591||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
223,"PE||Nazaré da Mata||-7,741980553413557   -35,22146763465073||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
224,"PE||Tracunhaém||-7,773861375736176   -35,15253909171283||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
225,"PE||Nazaré da Mata||-7,742320746561641   -35,22421421668199||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
226,"PE||Paudalho||-7,9025989078968   -35,17294578199796||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
227,"PE||Nazaré da Mata||-7,740804569989381   -35,22305411090808||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
228,"PE||Paudalho||-7,901578719748377   -35,17294578199796||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
