,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
64,"MA||São Luís||-2,525410161345838   -44,29973313779602||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento||Apoio e fomento,Associação de detentores,"Nenhum registro encontrado||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura"
65,"MA||São Luís||-2,511170667816873   -44,251523112962055||Estadual",Formas de expressão||Apoio e fomento||Reconhecimento,Grupos de detentores,"Tambor de Crioula do Maranhão||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil"
66,"PE||Olinda||-8,01792198958007   -34,852190653346874||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública municipal,Nenhum registro encontrado||Registro do Frevo como Patrimônio Cultural do Brasil
67,"PE||Recife||-8,060106402704436   -34,880408773257884||Estadual",Formas de expressão||Nenhum registro encontrado,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Frevo||Nenhum registro encontrado
68,"PE||Recife||-8,084540878293389   -34,92415292008138||Estadual",Formas de expressão||Nenhum registro encontrado,Associação de detentores,Frevo||Nenhum registro encontrado
69,"BA||Feira de Santana||-12,202115072633026   -38,969701043529156||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Fundação universitária,"Nenhum registro encontrado||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA )ʺ.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Prêmio (doação de instrumentos e tecidos)||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê"
70,"BA||Amargosa||-13,0228123396191   -39,61295295636125||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Fundação universitária,"Nenhum registro encontrado||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA )ʺ.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Prêmio (doação de instrumentos e tecidos)||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba"
71,"BA||Salvador||-12,97482791543259   -38,512920358548236||Nenhum registro encontrado",Nenhum registro encontrado||Nenhum registro encontrado,Instituição pública estadual,Nenhum registro encontrado||Nenhum registro encontrado
72,"RJ||Barra do Piraí||-22,471992927183738   -43,827321059170174||Regional",Formas de expressão||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,"Jongo no Sudeste||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura"
73,"RJ||Pinheiral||-22,518064750348945   -44,00260672899374||Regional",Formas de expressão||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,"Jongo no Sudeste||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro||Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura"
74,"RJ||Rio de Janeiro||-22,866678769492925   -43,32830773355057||Regional",Formas de expressão||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,"Jongo no Sudeste||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura"
75,"SP||Campinas||-22,923819562774902   -47,118324775311265||Regional",Formas de expressão||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,"Jongo no Sudeste||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura"
76,"MA||São Luís||-2,529164281116898   -44,30600146026429||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública estadual,Nenhum registro encontrado||Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil
77,"MA||São Luís||-2,5303781376485177   -44,266629314133574||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública estadual,Nenhum registro encontrado||Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil
78,"MA||São Luís||-2,5303781376484924   -44,27898893327382||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública municipal,Nenhum registro encontrado||Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil
79,"PE||Olinda||-8,017996357266682   -34,85222015764641||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública municipal,Nenhum registro encontrado||Registro do Frevo como Patrimônio Cultural do Brasil
80,"PE||Recife||-8,056213108898906   -34,88934589369788||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública municipal,Nenhum registro encontrado||Registro do Frevo como Patrimônio Cultural do Brasil
81,"PA||Belém||-1,4516800733240247   -48,47354314612523||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Instituição pública estadual,"Nenhum registro encontrado||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Exposição ""Laços da Fé""||Registro do Círio de Nazaré como Patrimônio Cultural do Brasil||Círio de Nazaré - Ações educativas para a comunidade em geral||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Criação de Ponto de Cultura em Igarapé Miri||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Divulgação||Círio de Nazaré - Oficinas temáticas de capacitação"
82,"PA||Belém||-1,454755577556654   -48,50398085402369||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Instituição pública estadual,"Nenhum registro encontrado||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Exposição ""Laços da Fé""||Círio de Nazaré - Ações educativas para a comunidade em geral||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Criação de Ponto de Cultura em Igarapé Miri||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Divulgação||Círio de Nazaré - Oficinas temáticas de capacitação"
83,"MA||São Luís||-2,5248903180665296   -44,292721843430165||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura"
84,"MS||Campo Grande||-20,44763583949802   -54,60389285959364||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública estadual,Nenhum registro encontrado||Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil
85,"MS||Corumbá||-19,001096790495616   -57,65086586101623||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública municipal,Nenhum registro encontrado||Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil
86,"MA||São Luís||-2,533122038731967   -44,29134855241497||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Associação de detentores,Nenhum registro encontrado||Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil
87,"MA||São Luís||-2,53214666830934   -44,25912449330963||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Associação de detentores,Nenhum registro encontrado||Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil
88,"RJ||Rio de Janeiro||-22,90594392907524   -43,21693705083563||Estadual",Formas de expressão||Reconhecimento,Associação de detentores,"Matrizes do Samba no Rio de Janeiro: Partido Alto, Samba de Terreiro e Samba-Enredo||Registro das Matrizes do Samba no Rio de Janeiro: partido alto, samba de terreiro e samba-enredo como Patrimônio Cultural do Brasil"
89,"RJ||Rio de Janeiro||-22,898353715489417   -43,22655008794462||Estadual",Formas de expressão||Reconhecimento,Associação de detentores,"Matrizes do Samba no Rio de Janeiro: Partido Alto, Samba de Terreiro e Samba-Enredo||Registro das Matrizes do Samba no Rio de Janeiro: partido alto, samba de terreiro e samba-enredo como Patrimônio Cultural do Brasil"
90,"BA||Salvador||-12,983939207766005   -38,506584980855855||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Fundação universitária,Nenhum registro encontrado||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil
91,"PE||Recife||-8,041949899816876   -34,92084073309306||Nenhum registro encontrado",Nenhum registro encontrado||Nenhum registro encontrado,Associação de detentores,Nenhum registro encontrado||Nenhum registro encontrado
92,"RJ||Valença||-22,24547096738357   -43,7081219976672||Regional",Formas de expressão||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,"Jongo no Sudeste||Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro"
93,"AP||Macapá||0,00416658539061517   -51,078646534890375||Local",Formas de expressão||Nenhum registro encontrado,Associação de detentores,Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Nenhum registro encontrado
94,"RJ||Rio de Janeiro||-22,90720892337214   -43,2114438867731||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento||Reconhecimento||Reconhecimento,Instituição pública federal,Nenhum registro encontrado||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil||Registro do Ofício das Baianas de Acarajé como Patrimônio Cultural do Brasil
95,"MA||São Luís||-2,5248903180665296   -44,285855388352445||Estadual",Formas de expressão||Nenhum registro encontrado,Instituição pública estadual,Tambor de Crioula do Maranhão||Nenhum registro encontrado
96,"BA||Salvador||-12,974571769859498   -38,50383839882459||Nenhum registro encontrado",Nenhum registro encontrado||Nenhum registro encontrado,Instituição pública estadual,Nenhum registro encontrado||Nenhum registro encontrado
97,"PI||Teresina||-5,093666421443526   -42,797770240461446||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento||Identificação||Apoio e fomento,Instituição pública estadual,"Nenhum registro encontrado||Registro da Produção Tradicional e Práticas Socioculturais Associadas à Cajuína no Piauí como Patrimônio Cultural do Brasil||Mapeamento Documental do Patrimônio Cultural Imaterial do Piauí||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
98,"GO||Goiânia||-16,68520484871024   -49,26419072426946||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento||Reconhecimento,Fundação universitária,Nenhum registro encontrado||Registro do Ritxòkó: expressão artística e cosmológica do Povo Karajá como Patrimônio Cultural do Brasil||Registro dos Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá como Patrimônio Cultural do Brasil
99,"GO||Goiânia||-16,686520315069167   -49,26899724282396||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento||Reconhecimento||Apoio e fomento||Identificação,Fundação universitária,Nenhum registro encontrado||Registro dos Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá como Patrimônio Cultural do Brasil||Registro do Ritxòkó: expressão artística e cosmológica do Povo Karajá como Patrimônio Cultural do Brasil||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2006 - Mapeamento e Documentação do Patrimônio Cultural Imaterial||Mapeamento Documental do Patrimônio Cultural Imaterial de Goiás
