,Abrangência/ Cobertura,Assunto/ palavras-chave,Data,Tipo do recurso,Título
194,"Pará||Belém||-49,94074994||Nenhum registro encontrado||SC||PA||PR||MS||RJ||SP||BA||Nova Erechim, Petrolândia, Meleiro, Matos Costa, Massaranduba, Macieira, Luzerna, Maracajá, Lajeado Grande, Presidente Nereu, Jupiá, Presidente Getúlio, Presidente Castello Branco, Pouso Redondo, José Boiteux, Joaçaba, Porto União, Pomerode, Planalto Alegre, Jardinópolis, Peritiba, Lacerdópolis, Iomerê, Ibicaré, Herval D'oeste, Pinheiro Preto, Guarujá do Sul, Guaramirim, Galvão, Frei Rogério, Formosa do Sul, Ermo, Irineópolis, Entre Rios, Irati, Curitibanos, Cunhataí, Sombrio, Coronel Martins, Chapadão do Lageado, Bom Jesus, Braço do Trombudo, Barra Bonita, São Pedro de Alcântara, Serra Alta, Tigrinhos, Abelardo Luz, Agrolândia, Água Doce, Águas Mornas, Alfredo Wagner, Anitápolis, Antônio Carlos, Apiúna, Arabutã, Bela Vista do Toldo, Benedito Novo, Blumenau, Bom Retiro, Botuverá, Brunópolis, Brusque, Calmon, Caçador, Campo Alegre, Coronel Freitas, Corupá, Descanso, Correia Pinto, Criciúma, Dona Emma, Doutor Pedrinho, Erval Velho, Faxinal dos Guedes, Flor do Sertão, Forquilhinha, Fraiburgo, Gaspar, Grão Pará, Gravatal, Ibiam, Ibirama, Ilhota, Imbuia, Indaial, Iporã do Oeste, Ipuaçu, Ipumirim, Jaraguá do Sul, Lontras, Laurentino, Lebon Régis, Leoberto Leal, Mafra, Major Gercino, Major Vieira, Mirim Doce, Monte Castelo, Morro da Fumaça, Nova Trento, Orleans, Ouro, Otacílio Costa, Painel, Papanduva, Passos Maia, Ponte Alta, Ponte Alta do Norte, Ponte Serrada, Rio do Sul, Rio das Antas, Rio do Campo, Rio do Oeste, Rio Negrinho, Rio Rufino, Riqueza, Rodeio, Santa Cecília, Santa Terezinha, Santo Amaro da Imperatriz, São Bento do Sul, São Bonifácio, São Cristovão do Sul, São Lourenço do Oeste, São José do Cerrito, Tubarão, Turvo, Urubici, Urupema, Urussanga, Vargeão, Vargem, Vargem Bonita, Videira, Atalanta, Abdon Batista, Águas Frias, Bom Jesus do Oeste, Agronômica, Saltinho, Marema, Sangão, São Bernardino, Garuva, Treze de Maio, São João do Oeste, Romelândia, Novo Horizonte, São João do Itaperiú, Palma Sola, Palmeira, Trombudo Central, Santa Rosa de Lima, São Domingos, São Martinho, Xaxim, Arvoredo, Treviso, Três Barras, Seara, Siderópolis, Timbó, Timbó Grande, Tijucas, Tangará, Taió, Sul Brasil, Schroeder, Saudades, Salto Veloso, São João Batista, Vitor Meireles, Witmarsum, Xanxerê, Cordilheira Alta, Ascurra, Anchieta, Angelina, Aurora, Armazém, Arroio Trinta, Bocaina do Sul, Braço do Norte, Campo Erê, Canelinha, Capivari de Baixo, Guabiruba, Canoinhas, Catanduvas, Cocal do Sul, Paial, Cunha Porã, Pedras Grandes, Monte Carlo, Imaruí, Ipira, Iraceminha, Irani, Itaiópolis, Ituporanga, Jaborá, Lindóia do Sul, Maravilha, Lauro Muller, Luiz Alves, Rio Fortuna, Rio dos Cedros, Xavantina, Vidal Ramos, União do Oeste, Treze Tílias, São Miguel do Oeste, São Miguel da Boa Vista, São Ludgero, Santiago do Sul, Santa Terezinha do Progresso, Santa Rosa do Sul, Rancho Queimado, Quilombo, Pinhalzinho, Ouro Verde, Salete, Nova Itaberaba, Modelo||Irituia, Itupiranga, Igarapé-Açu, Inhangapi, Ipixuna do Pará, Jacundá, Bannach, Breu Branco, Castanhal, Acará, Concórdia do Pará, Cumaru do Norte, Curionópolis, Benevides, Bonito, Aurora do Pará, Capanema, Bujaru, Belterra, Brasil Novo, Eldorado dos Carajás, Mãe do Rio, Capitão Poço, Magalhães Barata, Marabá, Nova Esperança do Piriá, Marituba, Nova Timboteua, Garrafão do Norte, Goianésia do Pará, Mocajuba, Nova Ipixuna, Ourém, Peixe-Boi, Prainha, Primavera, Santa Bárbara do Pará, Medicilândia, Moju, Monte Alegre, São Francisco do Pará, Santa Cruz do Arari, Santa Isabel do Pará, Santa Maria do Pará, Pau D'arco, Santarém Novo, Porto de Moz, São Domingos do Araguaia, São Domingos do Capim, Redenção, Terra Alta, Sapucaia, Santarém, São Miguel do Guamá, Senador José Porfírio, Tailândia, Tomé-Açu, Tucumã, Tucuruí, Uruará, Ananindeua, Anapu, Placas, Baião, Água Azul do Norte, Alenquer, Cametá, Canaã dos Carajás, Curuá, Parauapebas, Ourilândia do Norte, Pacajá, Novo Repartimento, Rurópolis, Santa Luzia do Pará, Trairão, Vitória do Xingu||Irati, Itambé, Itapejara D'oeste, Ivaté, Ivaiporã, Jacarezinho, Jaguariaíva, Jardim Alegre, Jesuítas, Laranjeiras do Sul, Luiziana, Nova Esperança do Sudoeste, Nova Fátima, Novo Itacolomi, Palmas, Palmeira, Palmital, Paulo Frontin, Perobal, Pérola, Piên, Pinhais, Pinhalão, Piraí do Sul, Piraquara, Pitanga, Planaltina do Paraná, Porto Barreiro, Ponta Grossa, Porto Amazonas, Prudentópolis, Prado Ferreira, Quarto Centenário, Quatiguá, Quedas do Iguaçu, Rancho Alegre D'oeste, Quitandinha, Realeza, Rebouças, Renascença, Reserva, Reserva do Iguaçu, Ribeirão Claro, Ribeirão do Pinhal, Rio Azul, Rio Bom, São Jorge D'oeste, São João do Triunfo, São Jorge do Ivaí, Xambrê, Vitorino, Virmond, Roncador, Rio Branco do Sul, Telêmaco Borba, Verê, Tamarana, Sengés, Pinhão, Ouro Verde do Oeste, Ourizona, Ortigueira, Nova Tebas, Miraselva, Santa Tereza do Oeste, Nova Santa Rosa, Califórnia, Campina da Lagoa, Jaboti, Campina Grande do Sul, Campo Largo, Campo Magro, Campo Mourão, Cândido de Abreu, Candói, Conselheiro Mairinck, Carambeí, Catanduvas, Cerro Azul, Cianorte, Céu Azul, Cidade Gaúcha, Clevelândia, Colombo, Congonhinhas, Corbélia, Cornélio Procópio, Coronel Vivida, Coronel Domingos Soares, Curiúva, Diamante do Sul, Espigão Alto do Iguaçu, Faxinal, Fazenda Rio Grande, Fernandes Pinheiro, Figueira, Flor da Serra do Sul, Floresta, Florestópolis, Francisco Beltrão, Goioerê, General Carneiro, Guaraniaçu, Goioxim, Guamiranga, Guapirama, Honório Serpa, Ibaiti, Ibiporã, Imbaú, Imbituva, Inácio Martins, Ipiranga, Iporã, Iretama, Nova Laranjeiras, Lindoeste, Laranjal, Lapa, Nova Esperança, Rio Bonito do Iguaçu, Jardim Olinda, Janiópolis, Jandaia do Sul, Jaguapitã, Londrina, Mariópolis, Ivaí, Itaperuçu, Guarapuava, Formosa do Oeste, Maripá, Enéas Marques, Dois Vizinhos, Farol, Cruz Machado, Mirador, Sarandi, Munhoz de Melo, Cascavel, Chopinzinho, Cantagalo, Campo do Tenente, Paula Freitas, Andirá, Ângulo, Arapongas, Apucarana, Atalaia, Mauá da Serra, Barra do Jacaré, Medianeira, Bela Vista da Caroba, Cruzeiro do Iguaçu, Moreira Sales, Flórida, Bela Vista do Paraíso, Boa Vista da Aparecida, Turvo, Marmeleiro, Marumbi, Bom Sucesso do Sul, Marquinho, Brasilândia do Sul, Matelândia, Santana do Itararé, Mato Rico, Missal, Morretes, Capitão Leônidas Marques, Carlópolis, Contenda, Castro, Nova Aurora, Lupionópolis, Marialva, Manfrinópolis, Maringá, Cruzeiro do Oeste, Cruzeiro do Sul, São Pedro do Ivaí, Alvorada do Sul, Amaporã, Diamante do Norte, Centenário do Sul, Altônia, Anahy, Alto Piquiri, Alto Paraná, Campo Bonito, Curitiba, Campina do Simão, Cambira, Cambé, Cafeara, Cambará, Pato Branco, Pato Bragado, Colorado, Cruzmaltina, Corumbataí do Sul, Fênix, Diamante D'oeste, Saudade do Iguaçu, Douradina, Almirante Tamandaré, Rancho Alegre, Agudos do Sul, Doutor Camargo, Engenheiro Beltrão, Esperança Nova, Guairaçá, Floraí, Francisco Alves, Foz do Jordão, Inajá, Godoy Moreira, Guaraci, Icaraíma, Grandes Rios, Iguaraçu, Guaporema, Itaguajé, Iguatu, Itaúna do Sul, Japira, Ibema, Japurá, Indianópolis, Iracema do Oeste, Itambaracá, Ivatuba, Jataizinho, Joaquim Távora, Jundiaí do Sul, Juranda, Querência do Norte, Jussara, Ramilândia, Kaloré, Lidianópolis, Leópolis, Nova Olímpia, Loanda, São João do Caiuá, Lobato, Lunardelli, Nova Londrina, Nova Santa Bárbara, Nova Prata do Iguaçu, Paiçandu, Paranacity, Palotina, Paraíso do Norte, Santa Terezinha de Itaipu, Paranavaí, Pinhal de São Bento, Mallet, Mamborê, Mandaguaçu, Mandaguari, Mandirituba, Mangueirinha, Manoel Ribas, Peabiru, Marilândia do Sul, Mariluz, Nova América da Colina, Pitangueiras, Santa Lúcia, Porto Rico, Nova Cantu, Porecatu, Santo Inácio, Primeiro de Maio, São Carlos do Ivaí, Porto Vitória, São Pedro do Paraná, Presidente Castelo Branco, Tamboara, Quatro Barras, Quatro Pontes, Quinta do Sol, Santa Amélia, Santa Cecília do Pavão, Santa Cruz de Monte Castelo, Terra Boa, Santa Fé, Rondon, Sabáudia, São Jorge do Patrocínio, Salto do Itararé, Santa Inês, Santa Isabel do Ivaí, Santa Mônica, Santo Antônio do Caiuá, São João do Ivaí, São Sebastião da Amoreira, São José da Boa Vista, São José das Palmeiras, São Tomé, São José dos Pinhais, São Manoel do Paraná, Sapopema, Terra Rica, Sertaneja, Sertanópolis, Sulina, Terra Roxa, Teixeira Soares, Tupãssi, Uniflor, Uraí, Wenceslau Braz, Vera Cruz do Oeste, Alto Paraíso, Paranapoema, Doutor Ulysses, Ventania, União da Vitória, Umuarama, Ubiratã, Tunas do Paraná, Três Barras do Paraná, Tuneiras do Oeste, Toledo, Tomazina, Tijucas do Sul, Tibagi, Tapira, Tapejara, Siqueira Campos, São Pedro do Iguaçu, São Mateus do Sul, São João, São Jerônimo da Serra, Maria Helena, Santo Antônio do Paraíso, Santo Antônio da Platina, Santa Maria do Oeste, Santa Izabel do Oeste, Santa Mariana, Salto do Lontra, Salgado Filho, Rosário do Ivaí, Rolândia, Rio Negro, Rio Branco do Ivaí, Abatiá, Adrianópolis, Marilena, Nossa Senhora das Graças, Altamira do Paraná, Nova Aliança do Ivaí, Ampére, Antônio Olinto, Arapoti, Araruna, Arapuã, Boa Esperança, Araucária, Ariranha do Ivaí, Assaí, Assis Chateaubriand, Astorga, Balsa Nova, Bandeirantes, Barbosa Ferraz, Bituruna, Boa Esperança do Iguaçu, Boa Ventura de São Roque, Bom Sucesso, Bocaiúva do Sul, Borrazópolis, Cafelândia, Cafezal do Sul, Braganey||Amambaí, Tacuru, Inocência, Iguatemi, Guia Lopes da Laguna, Figueirão, Corguinho, Bonito, Laguna Carapã, Angélica, Anastácio, Água Clara, Dourados, Aquidauana, Jateí, Vicentina, Três Lagoas, Terenos, Taquarussu, Sidrolândia, Selvíria, São Gabriel do Oeste, Santa Rita do Pardo, Rochedo, Rio Verde de Mato Grosso, Rio Negro, Rio Brilhante, Ribas do Rio Pardo, Novo Horizonte do Sul, Nova Andradina, Nova Alvorada do Sul, Nioaque, Naviraí, Miranda, Maracaju, Ivinhema, Itaporã, Glória de Dourados, Fátima do Sul, Eldorado, Douradina, Dois Irmãos do Buriti, Deodápolis, Campo Grande, Camapuã, Caarapó, Brasilândia, Bodoquena, Jardim, Jaraguari, Bataguassu, Bandeirantes, Ladário, Itaquiraí, Anaurilândia, Juti, Batayporã||Japeri, Queimados, Vassouras, Volta Redonda, Porto Real, São José do Vale do Rio Preto, São José de Ubá, Piraí, Pinheiral, Nilópolis, Bom Jardim, Macuco, Nova Iguaçu, Duas Barras, Cordeiro, São Fidélis, São Sebastião do Alto, Nova Friburgo, Conceição de Macabu, Cardoso Moreira, Cambuci, Itaocara, Italva, Engenheiro Paulo de Frontin, Cachoeiras de Macacu, Natividade, Mendes, Mesquita, Paracambi, Miguel Pereira, Iguaba Grande, Petrópolis, Paty do Alferes, São João de Meriti, Silva Jardim, Belford Roxo, Seropédica, São Pedro da Aldeia, Santa Maria Madalena, Rio Claro, Rio Bonito, Barra do Piraí, Aperibé, Barra Mansa, Areal, Trajano de Morais, Teresópolis, Tanguá, Sumidouro||Paulistânia, Paulínia, Paulicéia, Pariquera-Açu, Paraibuna, Cunha, Paraguaçu Paulista, Paraíso, Panorama, Embu, Palmital, Palmeira D'oeste, Osvaldo Cruz, Oscar Bressane, Osasco, Orindiúva, Onda Verde, São Bernardo do Campo, Olímpia, Santo Expedito, Santo Antônio do Aracanguá, Santo Antônio de Posse, Ocauçu, Santo André, Santo Anastácio, Santa Rosa de Viterbo, Nuporanga, Monte Mor, Novo Horizonte, Nova Granada, Natividade da Serra, Nhandeara, Neves Paulista, Nazaré Paulista, Narandiba, Morro Agudo, Moji Mirim, Mogi Guaçu, Mogi das Cruzes, Mirassol, Mirante do Paranapanema, Mirandópolis, Meridiano, Mendonça, Matão, Martinópolis, Saltinho, Mauá, Marília, Marabá Paulista, Barão de Antonina, Pradópolis, Macaubal, Rubinéia, Macatuba, Lutécia, Luís Antônio, Lucianópolis, Sabino, Bananal, Lucélia, Lourdes, Lorena, Lins, Leme, Lavínia, Lagoinha, Limeira, Juquitiba, Juquiá, João Ramalho, Jeriquara, Jaú, Jarinu, Jardinópolis, Jandira, Jambeiro, Jales, Jaguariúna, Bernardino de Campos, Nipoã, Sagres, Bady Bassitt, Álvares Machado, Jacupiranga, Ituverava, Itatiba, Itariri, Itararé, Itatinga, Itapirapuã Paulista, Itapevi, Itapeva, Itapetininga, Itaju, Itaí, Itaberá, Irapuru, Irapuã, Iracemápolis, Álvaro de Carvalho, Ipuã, Iporanga, Ipiguá, Alvinlândia, Ipeúna, Iperó, Ilha Solteira, Adolfo, Serra Negra, Sertãozinho, Sete Barras, Américo Brasiliense, Aguaí, Balbinos, Capela do Alto, Águas de Santa Bárbara, Águas de São Pedro, Arapeí, Arandu, Castilho, Catanduva, Vera Cruz, Vinhedo, Aspásia, Assis, Bento de Abreu, Avaí, Cândido Rodrigues, Bálsamo, Barra Bonita, Barra do Chapéu, Barra do Turvo, Bilac, Estiva Gerbi, Igaratá, Ibirá, Canitar, Ibaté, Brejo Alegre, Bom Sucesso de Itararé, Boracéia, Cosmópolis, Cajobi, Cajuru, Campina do Monte Alegre, Canas, Capão Bonito, Catiguá, Guariba, Cosmorama, Iaras, Cordeirópolis, Iacri, Cruzália, Igaraçu do Tietê, Hortolândia, Herculândia, Dirce Reis, Dobrada, Guzolândia, Guatapará, Dolcinópolis, Guarulhos, Avaré, Engenheiro Coelho, Fartura, Elisiário, Espírito Santo do Turvo, Euclides da Cunha Paulista, Florínia, General Salgado, Guará, Auriflama, Guarani D'oeste, Guararema, Guareí, Guararapes, Holambra, Iacanga, Ibirarema, Ibitinga, Indaiatuba, Ibiúna, Indiana, Inúbia Paulista, Itapura, Ipaussu, Itapecerica da Serra, Itaquaquecetuba, Itápolis, Itaporanga, Mairinque, Mairiporã, Manduri, Sales Oliveira, Maracaí, Itapuí, Jaborandi, Jaboticabal, Jacareí, Jaci, José Bonifácio, Júlio Mesquita, Jumirim, Nova Guataporanga, Lindóia, Santa Cruz da Esperança, Lençóis Paulista, Pereiras, Louveira, Lupércio, Luiziânia, Macedônia, Magda, Marapoama, Mariápolis, Rinópolis, Rio Claro, Rio das Pedras, Marinópolis, Mineiros do Tietê, Mombuca, Monções, Mongaguá, Nova Campina, Nova Canaã Paulista, Nova Castilho, Nova Luzitânia, Óleo, Pedrinhas Paulista, Orlândia, Embu-Guaçu, Ourinhos, Palmares Paulista, Salto, Paranapanema, Paranapuã, Parapuã, Parisi, Pindorama, Piedade, Piquerobi, Piracaia, Salto de Pirapora, Piracicaba, Piraju, Santa Fé do Sul, Pirapora do Bom Jesus, Salto Grande, Nova Odessa, Santa Cruz da Conceição, Platina, Poá, Poloni, Sales, Pongaí, Santa Gertrudes, Santa Isabel, Porangaba, Porto Ferreira, Guarantã, Potim, Pracinha, Presidente Alves, Presidente Bernardes, Santa Lúcia, Rafard, Rancharia, Redenção da Serra, Restinga, Ribeirão Bonito, Guaraçaí, Guapiara, Ribeirão do Sul, Guapiaçu, Guaiçara, Glicério, Riversul, Rosana, Salesópolis, Salmourão, Santa Ernestina, Santa Mercedes, Getulina, Santana da Ponte Pensa, Santana de Parnaíba, Guaimbê, Gastão Vidigal, Garça, Gália, Gabriel Monteiro, Franco da Rocha, Santa Rita D'oeste, São João do Pau D'alho, Sarutaiá, Severínia, Taiaçu, Taiúva, Três Fronteiras, Taquaral, Tarumã, Torre de Pedra, Trabiju, Tuiuti, Tupi Paulista, União Paulista, Valentim Gentil, Valinhos, Valparaíso, Viradouro, Vista Alegre do Alto, Francisco Morato, Flórida Paulista, Floreal, Flora Rica, Ferraz de Vasconcelos, Atibaia, Artur Nogueira, Ariranha, Areiópolis, Areias, Araçoiaba da Serra, Araçatuba, Aparecida D'oeste, Aparecida, Anhumas, Fernão, Pinhalzinho, Fernando Prestes, Fernandópolis, Vitória Brasil, Estrela do Norte, Anhembi, Estrela D'oeste, Arealva, Angatuba, Embaúba, Elias Fausto, Eldorado, Andradina, Analândia, Amparo, Américo de Campos, Santa Rita do Passa Quatro, Echaporã, Dumont, Santópolis do Aguapeí, São Caetano do Sul, São Carlos, Duartina, Dracena, Emilianópolis, Apiaí, Diadema, Álvares Florence, Descalvado, Cotia, Alumínio, Alto Alegre, Altair, Coronel Macedo, Alfredo Marcondes, Coroados, Conchas, Conchal, Colina, Charqueada, Cesário Lange, Cerquilho, Cerqueira César, Alambari, Capivari, Cândido Mota, Campos Novos Paulista, Campo Limpo Paulista, Campinas, Cafelândia, Cachoeira Paulista, Corumbataí, Agudos, Caçapava, Tremembé, Cabreúva, Buritama, Buri, Quadra, Braúna, Bragança Paulista, Botucatu, Brotas, Borebi, Americana, Araraquara, Araras, Arco-Íris, Cabrália Paulista, Avanhandava, Arujá, Casa Branca, Barbosa, Bariri, Chavantes, Zacarias, Votuporanga, Votorantim, Várzea Paulista, Vargem Grande Paulista, Vargem Grande do Sul, São Francisco, Turmalina, Turiúba, Tupã, Santa Salete, Tejupá, Taubaté, Terra Roxa, Teodoro Sampaio, Tatuí, Taquarituba, Tapiraí, Taquaritinga, Tanabi, Tambaú, Taguaí, Taciba, Suzano, Sumaré, Sud Mennucci, Silveiras, Sebastianópolis do Sul, Sarapuí, Iepê, Bauru, Bebedouro, Bom Jesus dos Perdões, Borá, Clementina, Caiabu, Caieiras, Caiuá, Cajamar, Cajati, Cedral, Cravinhos, Dois Córregos, Dourado, Gavião Peixoto, Borborema, Itirapina, Itajobi, Itaóca, Monte Alegre do Sul, Monte Alto, Monte Aprazível, Monte Azul Paulista, Monte Castelo, Morungaba, Motuca, Murutinga do Sul, Nova Aliança, Itobi, Itu, Itupeva, Nantes, Jundiaí, São Roque, Junqueirópolis, Laranjal Paulista, Nova Independência, São Pedro do Turvo, São Simão, São Pedro, São Paulo, São Miguel Arcanjo, São Luís do Paraitinga, Novais, Rio Grande da Serra, Miracatu, Mirassolândia, Pardinho, Araçariguama, Buritizal, Nova Europa, Pedreira, Oriente, Ouro Verde, Pacaembu, Palestina, Planalto, Pontalinda, Potirendaba, Ribeirão dos Índios, Ribeirão Grande, Rubiácea, Sandovalina, Santa Adélia, Santa Bárbara D'oeste, Santa Branca, Santa Maria da Serra, São João das Duas Pontes, Boituva, São José da Bela Vista, Serra Azul, São Manuel, Serrana, Adamantina, Sorocaba, Suzanápolis, Tabapuã, Tabatinga, Taboão da Serra, Taquarivaí, Tarabai, Ubarana, Tietê, Timburi, Torrinha, Ubirajara, Uchoa, Urânia, Uru, Urupês, Brodowski, Bofete, Bocaina, Biritiba-Mirim, Carapicuíba, Boa Esperança do Sul, São Lourenço da Serra, Birigui, Batatais, São José do Rio Preto, Bastos, São José do Rio Pardo, São José do Barreiro, São Joaquim da Barra, São João de Iracema, Santa Cruz do Rio Pardo, Santa Cruz das Palmeiras, Barueri, Roseira, Rincão, Ribeirão Preto, Ribeirão Pires, Ribeirão Corrente, Ribeirão Branco, Registro, Ribeira, Reginópolis, Regente Feijó, Quintana, Queluz, Queiroz, Quatá, Promissão, Presidente Venceslau, Presidente Prudente, Presidente Epitácio, Pratânia, Porto Feliz, Pontes Gestal, Pontal, Barrinha, Pompéia, Barretos, Pitangueiras, Piratininga, Pirassununga, Pirapozinho, Pirangi, Pirajuí, Pindamonhangaba, Pilar do Sul, Piacatu, Pereira Barreto, Penápolis, Pedro de Toledo, Pedranópolis, Pederneiras||Jequié, Laje, Lamarão, Lençóis, Livramento de Nossa Senhora, Macajuba, Macaúbas, Macururé, Maetinga, Mutuípe, Mairi, Maracás, Manoel Vitorino, Marcionílio Souza, Mascote, Matina, Mirante, Monte Santo, Morpará, Mucugê, Nordestina, Olindina, Paratinga, Pau Brasil, Pindobaçu, Pintadas, Piraí do Norte, Piritiba, Planaltino, Pojuca, Quixabeira, Presidente Jânio Quadros, Presidente Tancredo Neves, Queimadas, Quijingue, Riacho de Santana, Ribeirão do Largo, Rio de Contas, Rio do Antônio, Santaluz, Santa Bárbara, Santo Estêvão, Santa Cruz da Vitória, Santa Inês, Santa Luzia, Santa Maria da Vitória, São Félix do Coribe, São Felipe, São Gonçalo dos Campos, São Sebastião do Passé, Sátiro Dias, Saúde, Seabra, Serra do Ramalho, Sento Sé, Serrinha, Serrolândia, Tanhaçu, Teodoro Sampaio, Tucano, Nova Canaã, Brejolândia, Umburanas, Uibaí, Ubatã, Ubaitaba, Bonito, Boquira, Brotas de Macaúbas, Caatiba, Brumado, Buerarema, Ubaíra, Caetité, Candeal, Cansanção, Canudos, Conceição do Almeida, Capela do Alto Alegre, Capim Grosso, Caraíbas, Cardeal da Silva, Conceição do Coité, Uauá, Catu, Caturama, Central, Conceição do Jacuípe, Contendas do Sincorá, Coração de Maria, Crisópolis, Eunápolis, Cotegipe, Cristópolis, Floresta Azul, Euclides da Cunha, Gavião, Gentio do Ouro, Gongogi, Guajeru, Guanambi, Ibitiara, Ibititá, Ipupiara, Ibotirama, Igaporã, Ipirá, Itatim, Inhambupe, Itiúba, Itororó, Lagoa Real, Jacobina, Jaguaquara, Lajedo do Tabocal, Jaguarari, Jeremoabo, Jiquiriçá, Varzedo, Dom Basílio, Várzea da Roça, Terra Nova, Tanque Novo, Feira de Santana, Sobradinho, Filadélfia, Firmino Alves, Sítio do Quinto, Sítio do Mato, Senhor do Bonfim, São Miguel das Matas, São José do Jacuípe, São Gabriel, Gandu, Itaberaba, Itabuna, Itaeté, Itagibá, Itamaraju, Itamari, Santo Antônio de Jesus, São Félix, São Domingos, Santanópolis, Santana, Rafael Jambeiro, Ouriçangas, Oliveira dos Brejinhos, Paramirim, Palmeiras, Palmas de Monte Alto, Nova Soure, Nova Itarana, Ibicoara, Ibicaraí, Ibiassucê, Iaçu, Ibipitanga, Cachoeira, Jitaúna, Barra do Mendes, Baianópolis, Aurelino Leal, Arataca, Aramari, Aratuípe, Itabela, Irajuba, Elísio Medrado, Dom Macedo Costa, Xique-Xique, Wenceslau Guimarães, Vereda, Wagner, Utinga, Vitória da Conquista, Valente, Várzea Nova, Várzea do Poço, Teolândia, Teofilândia, Teixeira de Freitas, Tapiramutá, Tanquinho, Serra Preta, Serra Dourada, Tabocas do Brejo Velho, Sapeaçu, São José da Vitória, Santa Teresinha, Ruy Barbosa, Rio do Pires, Ribeira do Pombal, Riachão do Jacuípe, Retirolândia, Souto Soares, Presidente Dutra, Pé de Serra, Nova Redenção, Nova Fátima, Muquém de São Francisco, Muniz Ferreira, Mundo Novo, Muritiba, Mulungu do Morro, Potiraguá, Ponto Novo, Poções, Planalto, Pindaí, Piatã, Nazaré, Morro do Chapéu, Pedrão, Mirangaba, Milagres, Miguel Calmon, Maragogipe, Malhada de Pedras, Lapão, Jussari, Jussara, Lajedinho, Ituaçu, Licínio de Almeida, Itaquara, Itapitanga, Lafaiete Coutinho, Jussiape, Itiruçu, Itapetinga, Itapebi, Itapé, Itanagra, Ipiaú, Ipecaetá, Iguaí, Ichu, Ibirataia, Ibirapuã, Ibirapitanga, Ibiquera, Ibipeba, Ibicuí, Governador Mangabeira, Cravolândia, Coaraci, Cipó, Cícero Dantas, Chorrochó, Ourolândia, Catolândia, Castro Alves, Dário Meira, Dias D'ávila, Cruz das Almas, Conceição da Feira, Candiba, Novo Triunfo, Novo Horizonte, Canápolis, Camacan, Caldeirão Grande, Campo Formoso, Cafarnaum, Coribe, Canarana, Caetanos, Caém, Caculé, Nova Ibiá, Cabaceiras do Paraguaçu, João Dourado, Boninal, Bom Jesus da Serra, Bom Jesus da Lapa, Boa Vista do Tupim, Boa Nova, Brejões, Barrocas, Botuporã, Barra do Choça, Araças, Aracatu, Amargosa, Almadina, Barro Alto, Barra do Rocha, Baixa Grande, Anguera, Acajutiba, Itajuípe, Irecê, Irará, Iraquara, Iramaia, Itaju do Colônia, Itaguaçu da Bahia, Itambé, Itagi, Abaíra, Abaré, Água Fria, Érico Cardoso, Aiquara, Alagoinhas, Amélia Rodrigues, América Dourada, Anagé, Andaraí, Andorinha, Angical, Antas, Antônio Cardoso, Antônio Gonçalves, Aporá, Apuarema, Araci, Banzaê, Barra, Barra da Estiva, Barro Preto, Wanderley, Belo Campo, Biritinga",Nenhum registro encontrado||Não informado,2001||2006,Identificação,Nenhum registro encontrado
195,"Pernambuco||Recife||-42,94516212||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||2010,Identificação,Nenhum registro encontrado
196,"Pará||Santarém||-57,15214406||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2003||mai/05,Identificação,Nenhum registro encontrado
197,"Bahia||Mucugê||-54,54866871||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||ago/08,Identificação,Nenhum registro encontrado
198,"Pernambuco||São Bento do Una||-44,96861974||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
199,"Sergipe||Gararu||-47,07070684||Nenhum registro encontrado||SE||Ilha das Flores",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
200,"Tocantins||Araguatins||-53,52080766||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
201,"Rio de Janeiro||Rio de Janeiro||-66,12035098||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||dez/11,Identificação,Nenhum registro encontrado
202,"Distrito Federal||Brasília||-63,68438381||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||mai/05,Identificação,Nenhum registro encontrado
203,"Amazonas||Manaus||-63,13614922||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||fev/08,Identificação,Nenhum registro encontrado
204,"Distrito Federal||Brasília||-63,72855238||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||mar/10,Identificação,Nenhum registro encontrado
205,"Sergipe||Laranjeiras||-47,97567101||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||dez/07,Identificação,Nenhum registro encontrado
