Autor,Descrição,Desenho Livre,Document,Dossiê,Função Sérgio Britto,Link do Item,Local,Nome do material,Tipo de artigo,Título,Ano,Tipo de publicação,Elenco,Equipe Técnica,Veículo da publicação,Material de Divulgação,Número de páginas,Projeto Gráfico,Observação
,"Peça Os veranistas de Máximo Gorki. Prêmio Moliere melhor direção Sergio Britto, Prêmio Moliere melhor ator Rodrigo Santiago, Prêmio Moliere melhor atriz Renata Sorrah, Prêmio Mambembe melhor diretor Sergio Britto, Prêmio Mambembe melhor atriz Tetê Medina, Prêmio Mambembe melhor produtor Teatro dos 4, Prêmio Golfinho de Ouro melhor direção Sergio Britto e Prêmio SNT 5 melhores espetáculos do ano.
Elenco: Renata Sorrah, Rodrigo Santiago, Sergio Britto, Tetê Medina, Ítalo Rossi, Suzana Faini, Luis de Lima, Yara Amaral, Walter Marins, Vinícius Salvatore, Pedro Veras e Nildo Parente. Direção: Sergio Britto. No Teatro dos 4. Cenógrafo Hélio Eichbauer. Música de David Tygel. No Teatro dos 4.
¢	Prêmio Moliere como diretor.",,,Os Veranistas,,https://www.funarte.gov.br/acervo-sergio-britto-digital/os-veranistas-4/,Rio de Janeiro,Hemeroteca,,Os veranistas,1978,reportagem,,,,,,,
Liliana Renata,Entrevista com Sergio Britto na época do lançamento do Teatro dos Sete.,,,Sergio Britto,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sergio-britto-um-homem-sem-saudade/,,Hemeroteca,,"Sergio Britto, um homem sem saudade",,reportagem,,,,,,,
,"Matérias variadas sobre o espetáculo Mirandolina

Peça Mirandolina de Goldoni, direção de Ruggero Jacobbi. Cia Maria Della Costa. Cenários Gianni Ratto. 
Elenco: Sergio Britto, Maria Della Costa, Elisio de Albuquerque, Wanda Kosmos, Fernanda Montenegro, Serafim Gonzales, Fabio Sabag, Edmundo Lopes, Amandio Silva Filho. Figurinos Luciana Petrucceli.",,,Mirandolina,,https://www.funarte.gov.br/acervo-sergio-britto-digital/miralndolina/,,Hemeroteca,,Miralndolina,1955,reportagem,,,,,,,
,Propaganda dos filmes em cartaz assistidos por Sergio Britto.,,,Cinema,,https://www.funarte.gov.br/acervo-sergio-britto-digital/filmes-em-cartaz/,,Hemeroteca,,Filmes em cartaz,,reportagem,,,,,,,
,"Filme O maior amor do mundo de Cacá Diegues.
Elenco: José Wilker, Taís Araújo, Léa Garcia, Sergio Malheiros e Sergio Britto. Direção: Cacá Diegues.
Filme O maior amor do mundo, conta a história de um homem que, de profissão astrofísico, passou a vida a olhar para o céu e as estrelas, sem se dar conta do que estava ao seu lado, aqui mesmo. É o percurso de um cientista brasileiro radicado nos Estados Unidos e desenganado pelos médicos rumo a suas origens, numa favela da baixada Fluminense.",,,Cinema,Ator,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-maior-amor-do-mundo/,,Fotografia,,O maior amor do mundo,2006,,"Elenco: José Wilker, Taís Araújo, Léa Garcia, Sergio Malheiros e Sergio Britto",Direção Cacá Diegues,,,,,
conforme legenda,"Matéria sobre a peça O homem do princípio ao fim, uma seleção de textos idealizada e realizada por Millor Fernandes. 
Elenco Fernanda Montenegro, Sergio Britto e Claudio Correa e Castro. Teatro Santa Rosa. Direção Fernando Torres, cenografia Claudio Correa e Castro figurinos José Ronaldo e música de Oscar Castro Neves. Em Porto Alegre no Teatro Leopoldina, Pelotas no Auditório Gonzaga, Paraná no Teatro Guaíra, em Santa Catarina no Teatro Alvaro de Carvalho, em Belo Horizonte no Teatro Marilia, em Brasilia no Teatro Martins Pena, em Goiania noTeatro Inacabado da AGT,
Trata-se de uma antologia de textos famosos, desde a antiguidade até os dias de hoje, que tratam da posição do indivíduo diante de si mesmo. É uma espécie de resenha histórica de depoimentos sobre a condição humana.
Elenco: Fernanda Montenegro, Fernando Torres e Sergio Britto. Direção: Fernando Torres.",,,O Homem do Prrincípio ao Fim,,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-homem-do-principio-ao-fim-33/,conforme legenda,Hemeroteca,,O homem do princípio ao fim,,reportagem,,,conforme legenda,,,,
conforme legenda,Matérias variadas sobre o Grande Teatro Tupi.,,,Grande Teatro Tupi,,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-grande-teatro-2/,conforme legenda,Hemeroteca,,O Grande Teatro,1959,reportagem,,,conforme legenda,,,,
Ítalo Rossi,Frase de Ítalo Rossi definindo Sergio Britto.,,,Sergio Britto,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sergio-britto-por-italo-rossi/,,Hemeroteca,,Sergio Britto por Ítalo Rossi,,reportagem,,,,,,,
conforme imagem,Matérias variadas sobre o Grande Teatro.,,,Grande Teatro Tupi,,https://www.funarte.gov.br/acervo-sergio-britto-digital/grande-teatro-5/,conforme imagem,Hemeroteca,,Grande Teatro,1957,reportagem,,,conforme imagem,,,,
conforme imagem,"Peça O canto da cotovia de Anoullh, direção de Gianni Ratto. Inauguração do Teatro Maria Della Costa. 
Elenco: Sergio Britto, Fausto Cardoso, Edmundo Lopes, Maria Della Costa, Cordula Reis, Vanda Kosmo, Fernanda Vale, Milton Morais, Amandio Silva, Benjamin Catan, Eny Autran, Fabio Sabag, Geraldo Soares, José Serber, Manuel Carlos, Serafin Gonzalez. Cenário e direção: Gianni Ratto. Depois a peça foi levada ao Teatro Municipal do Rio de Janeiro.
Fez um papel de um homem muito afeminado, que é casado e tem uma amante. Ao mesmo tempo, é fraco, é dominado pelas mulheres: pela esposa, pela mãe e pela amante",,,Maria Della Costa,,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-canto-da-cotovia-15/,conforme imagem,Hemeroteca,,O canto da cotovia,1955,reportagem,,,conforme imagem,,,,
